PLAYER NAME,Ball Speed,Driving Distance,Approaches from > 100 yards,Eagles (Holes per),Putts Per Round,Birdie Average,Proximity to Hole,FedexCup Regular Season Points,Average Distance of Putts made,GIR Percentage from Fairway,Official Money,Bogey Average,Par 3 Scoring Average,Club Head Speed,Par 4 Scoring Average,Par 5 Scoring Average,Driving Accuracy Percentage,Scoring Average,Total Birdies,Total Eagles,Spin Rate,Top 10 Finishes,Sand Save Percentage,Scrambling,SG: Total,Smash Factor,Country,College
A.J. McInerney (2018),,,,,,,,,,,,,,,,,,,,,,1,,,,,USA,"University of Nevada-Las Vegas 2016, Finance"
Aaron Wise (2017),,,,,,,,,,,,,,,,,,,,,,1,,,,,USA,University of Oregon
Aaron Wise (2018),171.85,302.9,"33' 5""",264,29.15,4.11,"36' 8""",1086,"79' 2""",81.6,"3,486,407",2.66,3.06,114.38,4,4.63,63.33,70.247,362,6,2580.3,4,47.92,56.28,0.703,1.502,USA,University of Oregon
Aaron Wise (2019),174.29,302.6,"33' 10""",414,29.25,4.42,"37' 5""",400,"72' 1""",80.13,"1,052,507",2.67,3.01,116.54,4.04,4.54,61.75,70.739,305,3,2331.3,1,48.19,52.05,0.329,1.495,USA,University of Oregon
Abraham Ancer (2016),159.6,276.4,"32' 4""",864,29.06,3.33,"34' 9""",147,"65' 4""",69.25,"162,811",3.08,3.08,106.9,4.07,4.8,65.42,72.137,160,1,2604.7,,46.75,56.67,-0.727,1.493,MEX,"University of Oklahoma 2013, Multi-Disciplinary Studies"
Abraham Ancer (2018),167.57,296.1,"33' 0""",345.6,28.91,3.64,"35' 5""",589,"70' 6""",75.64,"1,676,695",2.41,3.06,111.85,4.01,4.63,63.64,70.659,349,5,2599.9,5,54.12,62.69,0.32,1.498,MEX,"University of Oklahoma 2013, Multi-Disciplinary Studies"
Abraham Ancer (2019),168.18,293.3,"31' 9""",226.3,28.81,3.89,"34' 7""",622,"71' 4""",74.57,"2,688,625",2.41,3.06,112.04,3.98,4.62,70.21,70.58,342,7,2759,4,46.62,61.98,0.515,1.501,MEX,"University of Oklahoma 2013, Multi-Disciplinary Studies"
Adam Hadwin (2015),169.37,288.2,"32' 9""",209.3,29.15,3.54,"35' 1""",584,"78' 2""",77.07,"937,611",2.4,3.05,114.67,4.04,4.68,65.43,71.021,329,8,2924.1,3,50.96,58.39,0.183,1.477,CAN,"University of Louisville  (2009, Business Administration)"
Adam Hadwin (2016),167.96,290.1,"33' 3""",239.1,28.55,3.84,"36' 1""",638,"76' 2""",77.39,"1,067,809",2.45,3.01,114.05,4.03,4.66,63.62,70.719,357,7,2719.8,2,54.78,58.27,0.519,1.472,CAN,"University of Louisville  (2009, Business Administration)"
Adam Hadwin (2017),170.28,291.3,"32' 7""",294,28.56,3.63,"36' 1""",1347,"76' 8""",74.54,"3,455,012",2.32,3.04,114.97,4.03,4.66,63.2,70.583,356,6,2693,5,61.11,62.82,0.551,1.481,CAN,"University of Louisville  (2009, Business Administration)"
